,0
770,EX_LalaDgluMdap_e: LalaDgluMdap_e --> 
771,EX_g1p_e: g1p_e --> 
772,EX_ac_e: ac_e --> 
773,EX_acac_e: acac_e --> 
774,EX_acald_e: acald_e --> 
775,EX_colipa_e: colipa_e --> 
776,EX_cpgn_e: cpgn_e --> 
777,EX_cpgn_un_e: cpgn_un_e --> 
778,EX_crn_e: crn_e --> 
779,EX_acgal1p_e: acgal1p_e --> 
780,EX_acgal_e: acgal_e --> 
781,EX_csn_e: csn_e --> 
782,EX_acgam1p_e: acgam1p_e --> 
783,EX_g3pc_e: g3pc_e --> 
784,EX_acgam_e: acgam_e --> 
785,EX_acmana_e: acmana_e --> 
786,EX_cu2_e: cu2_e <=> 
787,EX_cu_e: cu_e --> 
788,EX_cyan_e: cyan_e --> 
789,EX_acmum_e: acmum_e --> 
790,EX_acnam_e: acnam_e --> 
791,EX_acolipa_e: acolipa_e --> 
792,EX_cynt_e: cynt_e --> 
793,EX_cys__D_e: cys__D_e --> 
794,EX_cys__L_e: cys__L_e --> 
795,EX_g3pe_e: g3pe_e --> 
796,EX_cytd_e: cytd_e --> 
797,EX_dad_2_e: dad_2_e --> 
798,EX_damp_e: damp_e --> 
799,EX_malthx_e: malthx_e --> 
800,EX_g3pg_e: g3pg_e --> 
801,EX_maltpt_e: maltpt_e --> 
802,EX_malttr_e: malttr_e --> 
803,EX_dca_e: dca_e --> 
804,EX_dcmp_e: dcmp_e --> 
805,EX_dcyt_e: dcyt_e --> 
806,EX_maltttr_e: maltttr_e --> 
807,EX_ddca_e: ddca_e --> 
808,EX_man6p_e: man6p_e --> 
809,EX_g3pi_e: g3pi_e --> 
810,EX_man_e: man_e --> 
811,EX_manglyc_e: manglyc_e --> 
812,EX_dgmp_e: dgmp_e --> 
813,EX_dgsn_e: dgsn_e --> 
814,EX_melib_e: melib_e --> 
815,EX_g3ps_e: g3ps_e --> 
816,EX_met__D_e: met__D_e --> 
817,EX_dha_e: dha_e --> 
818,EX_dimp_e: dimp_e --> 
819,EX_met__L_e: met__L_e --> 
820,EX_din_e: din_e --> 
821,EX_metsox_R__L_e: metsox_R__L_e --> 
822,EX_g6p_e: g6p_e --> 
823,EX_metsox_S__L_e: metsox_S__L_e --> 
824,EX_mg2_e: mg2_e <=> 
825,EX_dms_e: dms_e --> 
826,EX_dmso_e: dmso_e --> 
827,EX_dopa_e: dopa_e --> 
828,EX_dtmp_e: dtmp_e --> 
829,EX_dump_e: dump_e --> 
830,EX_duri_e: duri_e --> 
831,EX_eca4colipa_e: eca4colipa_e --> 
832,EX_enlipa_e: enlipa_e --> 
833,EX_minohp_e: minohp_e --> 
834,EX_mmet_e: mmet_e --> 
835,EX_mn2_e: mn2_e <=> 
836,EX_mnl_e: mnl_e --> 
837,EX_mobd_e: mobd_e <=> 
838,EX_mso3_e: mso3_e --> 
839,EX_enter_e: enter_e --> 
840,EX_etha_e: etha_e --> 
841,EX_n2o_e: n2o_e --> 
842,EX_na1_e: na1_e <=> 
843,EX_ethso3_e: ethso3_e --> 
844,EX_gal1p_e: gal1p_e --> 
845,EX_etoh_e: etoh_e --> 
846,EX_f6p_e: f6p_e --> 
847,EX_fald_e: fald_e --> 
848,EX_nac_e: nac_e --> 
849,EX_nh4_e: nh4_e <=> 
850,EX_ni2_e: ni2_e --> 
851,EX_nmn_e: nmn_e --> 
852,EX_fe2_e: fe2_e <=> 
853,EX_no2_e: no2_e --> 
854,EX_fe3_e: fe3_e <=> 
855,EX_no3_e: no3_e --> 
856,EX_gal_e: gal_e --> 
857,EX_no_e: no_e --> 
858,EX_o16a4colipa_e: o16a4colipa_e --> 
859,EX_fe3dcit_e: fe3dcit_e --> 
860,EX_fe3dhbzs_e: fe3dhbzs_e --> 
861,EX_fe3hox_e: fe3hox_e --> 
862,EX_fe3hox_un_e: fe3hox_un_e --> 
863,EX_o2_e: o2_e <=> 
864,EX_fecrm_e: fecrm_e --> 
865,EX_o2s_e: o2s_e --> 
866,EX_ocdca_e: ocdca_e --> 
867,EX_ocdcea_e: ocdcea_e --> 
868,EX_octa_e: octa_e --> 
869,EX_fecrm_un_e: fecrm_un_e --> 
870,EX_feenter_e: feenter_e --> 
871,EX_feoxam_e: feoxam_e --> 
872,EX_orn_e: orn_e --> 
873,EX_gal_bD_e: gal_bD_e --> 
874,EX_orot_e: orot_e --> 
875,EX_pacald_e: pacald_e --> 
876,EX_peamn_e: peamn_e --> 
877,EX_phe__L_e: phe__L_e --> 
878,EX_tungs_e: tungs_e <=> 
879,EX_galct__D_e: galct__D_e --> 
880,EX_tym_e: tym_e --> 
881,EX_pheme_e: pheme_e --> 
882,EX_pi_e: pi_e <=> 
883,EX_tyr__L_e: tyr__L_e --> 
884,EX_galctn__D_e: galctn__D_e --> 
885,EX_tyrp_e: tyrp_e --> 
886,EX_pnto__R_e: pnto__R_e --> 
887,EX_ppa_e: ppa_e --> 
888,EX_ppal_e: ppal_e --> 
889,EX_uacgam_e: uacgam_e --> 
890,EX_udpacgal_e: udpacgal_e --> 
891,EX_pppn_e: pppn_e --> 
892,EX_galctn__L_e: galctn__L_e --> 
893,EX_ppt_e: ppt_e --> 
894,EX_pro__L_e: pro__L_e --> 
895,EX_udpg_e: udpg_e --> 
896,EX_udpgal_e: udpgal_e --> 
897,EX_udpglcur_e: udpglcur_e --> 
898,EX_progly_e: progly_e --> 
899,EX_galt_e: galt_e --> 
900,EX_psclys_e: psclys_e --> 
901,EX_pser__L_e: pser__L_e --> 
902,EX_ump_e: ump_e --> 
903,EX_ura_e: ura_e --> 
904,EX_urea_e: urea_e --> 
905,EX_uri_e: uri_e --> 
906,EX_val__L_e: val__L_e --> 
907,EX_xan_e: xan_e --> 
908,EX_ptrc_e: ptrc_e --> 
909,EX_pyr_e: pyr_e --> 
910,EX_r5p_e: r5p_e --> 
911,EX_rib__D_e: rib__D_e --> 
912,EX_rmn_e: rmn_e --> 
913,EX_sbt__D_e: sbt__D_e --> 
914,EX_xmp_e: xmp_e --> 
915,EX_xtsn_e: xtsn_e --> 
916,EX_galur_e: galur_e --> 
917,EX_xyl__D_e: xyl__D_e --> 
918,EX_xylu__L_e: xylu__L_e --> 
919,EX_zn2_e: zn2_e <=> 
920,EX_ser__D_e: ser__D_e --> 
921,EX_ser__L_e: ser__L_e --> 
922,EX_skm_e: skm_e --> 
923,EX_so2_e: so2_e --> 
924,EX_so3_e: so3_e --> 
925,BIOMASS_Ec_iAF1260_core_59p81M: 0.000223 10fthf_c + 0.000223 2ohph_c + 0.5137 ala__L_c + 0.000223 amet_c + 0.2958 arg__L_c + 0.2411 asn__L_c + 0.2411 asp__L_c + 59.984 atp_c + 0.004737 ca2_c + 0.004737 cl_c + 0.000576 coa_c + 0.003158 cobalt2_c + 0.1335 ctp_c + 0.003158 cu2_c + 0.09158 cys__L_c + 0.02617 datp_c + 0.02702 dctp_c + 0.02702 dgtp_c + 0.02617 dttp_c + 0.000223 fad_c + 0.007106 fe2_c + 0.007106 fe3_c + 0.2632 gln__L_c + 0.2632 glu__L_c + 0.6126 gly_c + 0.2151 gtp_c + 54.462 h2o_c + 0.09474 his__L_c + 0.2905 ile__L_c + 0.1776 k_c + 0.01945 kdo2lipid4_e + 0.4505 leu__L_c + 0.3432 lys__L_c + 0.1537 met__L_c + 0.007895 mg2_c + 0.000223 mlthf_c + 0.003158 mn2_c + 0.003158 mobd_c + 0.01389 murein5px4p_p + 0.001831 nad_c + 0.000447 nadp_c + 0.011843 nh4_c + 0.02233 pe160_c + 0.04148 pe160_p + 0.02632 pe161_c + 0.04889 pe161_p + 0.1759 phe__L_c + 0.000223 pheme_c + 0.2211 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.2158 ser__L_c + 0.000223 sheme_c + 0.003948 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.2537 thr__L_c + 0.05684 trp__L_c + 0.1379 tyr__L_c + 5.5e-05 udcpdp_c + 0.1441 utp_c + 0.4232 val__L_c + 0.003158 zn2_c --> 59.81 adp_c + 59.81 h_c + 59.806 pi_c + 0.7739 ppi_c
926,EX_gam6p_e: gam6p_e --> 
927,F6PA: f6p_c <=> dha_c + g3p_c
928,F6PP: f6p_c + h2o_c --> fru_c + pi_c
929,F6Pt6_2pp: f6p_p + 2.0 pi_c --> f6p_c + 2.0 pi_p
930,EX_so4_e: so4_e <=> 
931,EX_spmd_e: spmd_e --> 
932,EX_succ_e: succ_e --> 
933,F6Ptex: f6p_e <=> f6p_p
934,FA100ACPHi: dcaACP_c + h2o_c --> ACP_c + dca_c + h_c
935,EX_sucr_e: sucr_e --> 
936,FA120ACPHi: ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c
937,EX_sulfac_e: sulfac_e --> 
938,EX_gam_e: gam_e --> 
939,EX_tartr__L_e: tartr__L_e --> 
940,FA140ACPHi: h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c
941,FA141ACPHi: h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c
942,FA160ACPHi: h2o_c + palmACP_c --> ACP_c + h_c + hdca_c
943,FA161ACPHi: h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c
944,FA80ACPHi: h2o_c + ocACP_c --> ACP_c + h_c + octa_c
945,FACOAE100: dcacoa_c + h2o_c --> coa_c + dca_c + h_c
946,EX_taur_e: taur_e --> 
947,EX_tcynt_e: tcynt_e --> 
948,EX_thm_e: thm_e --> 
949,EX_thr__L_e: thr__L_e --> 
950,EX_thrp_e: thrp_e --> 
951,EX_thym_e: thym_e --> 
952,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
953,FACOAE140: h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c
954,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
955,EX_thymd_e: thymd_e --> 
956,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
957,EX_tma_e: tma_e --> 
958,EX_gbbtn_e: gbbtn_e --> 
959,EX_tmao_e: tmao_e --> 
960,EX_tre_e: tre_e --> 
961,FACOAE161: h2o_c + hdcoa_c --> coa_c + h_c + hdcea_c
962,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
963,FACOAE181: h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c
964,EX_trp__L_e: trp__L_e --> 
965,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
966,EX_gdp_e: gdp_e --> 
967,FACOAE80: h2o_c + occoa_c --> coa_c + h_c + octa_c
968,FACOAL100t2pp: atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c
969,EX_tsul_e: tsul_e --> 
970,EX_ttdca_e: ttdca_e --> 
971,EX_ttdcea_e: ttdcea_e --> 
972,FACOAL120t2pp: atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c
973,FACOAL140t2pp: atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c
974,EX_glc__D_e: glc__D_e <=> 
975,FACOAL141t2pp: atp_c + coa_c + h_p + ttdcea_p --> amp_c + h_c + ppi_c + tdecoa_c
976,EX_glcn_e: glcn_e --> 
977,FACOAL160t2pp: atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c
978,FACOAL161t2pp: atp_c + coa_c + h_p + hdcea_p --> amp_c + h_c + hdcoa_c + ppi_c
979,FACOAL180t2pp: atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c
980,FDMO4: butso3_c + fmnh2_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c
981,FDMO6: fmnh2_c + o2_c + sulfac_c --> fmn_c + glx_c + h2o_c + h_c + so3_c
982,FE2abcpp: atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
983,FE2t2pp: fe2_p + h_p --> fe2_c + h_c
984,FE2t3pp: fe2_c + h_p --> fe2_p + h_c
985,FE2tex: fe2_e <=> fe2_p
986,FE2tpp: fe2_p --> fe2_c
987,FACOAL181t2pp: atp_c + coa_c + h_p + ocdcea_p --> amp_c + h_c + odecoa_c + ppi_c
988,FACOAL60t2pp: atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c
989,FACOAL80t2pp: atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c
990,FE3DCITabcpp: atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
991,FE3DCITtonex: fe3dcit_e + h_p --> fe3dcit_p + h_c
992,FADRx: fad_c + h_c + nadh_c --> fadh2_c + nad_c
993,EX_glcr_e: glcr_e --> 
994,FADRx2: fad_c + h_c + nadph_c --> fadh2_c + nadp_c
995,FALDH2: hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c
996,FALDtex: fald_e <=> fald_p
997,FALDtpp: fald_p <=> fald_c
998,FE3DHBZR: fe3dhbzs_c --> 23dhbzs_c + fe3_c
999,FE3DHBZSabcpp: atp_c + fe3dhbzs_p + h2o_c --> adp_c + fe3dhbzs_c + h_c + pi_c
1000,FE3DHBZStonex: fe3dhbzs_e + h_p --> fe3dhbzs_p + h_c
1001,FE3HOXR1: fadh2_c + 2.0 fe3hox_c --> fad_c + 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c
1002,FE3HOXR2: 2.0 fe3hox_c + fmnh2_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + fmn_c + 2.0 h_c
1003,FALGTHLs: fald_c + gthrd_c <=> hmgth_c
1004,EX_glcur1p_e: glcur1p_e --> 
1005,FBA: fdp_c <=> dhap_c + g3p_c
1006,FBP: fdp_c + h2o_c --> f6p_c + pi_c
1007,FCI: fuc__L_c <=> fcl__L_c
1008,FCLK: atp_c + fcl__L_c --> adp_c + fc1p_c + h_c
1009,FCLPA: fc1p_c <=> dhap_c + lald__L_c
1010,FCLT: fe2_c + ppp9_c --> 2.0 h_c + pheme_c
1011,FE3HOXR3: 2.0 fe3hox_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + ribflv_c
1012,FE3HOXUtex: fe3hox_un_c + h_p --> fe3hox_un_p + h_c
1013,FE3HOXUtpp: fe3hox_un_p + h_p --> fe3hox_un_e + h_c
1014,FE3HOXabcpp: atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c
1015,FE3HOXexs: fe3_e + fe3hox_un_e --> fe3hox_e
1016,FE3HOXtonex: fe3hox_e + h_p --> fe3hox_p + h_c
1017,FE3Ri: fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
1018,FE3abcpp: atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
1019,FDH4pp_1: for_p + 2.0 h_c + q8_c --> co2_c + h_p + q8h2_c
1020,FDH5pp_1: for_p + 2.0 h_c + mqn8_c --> co2_c + h_p + mql8_c
1021,FDMO: fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c
1022,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
1023,FE3tex: fe3_e <=> fe3_p
1024,EX_glcur_e: glcur_e --> 
1025,FECRMR1: fadh2_c + 2.0 fecrm_c --> fad_c + 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c
1026,FECRMR2: 2.0 fecrm_c + fmnh2_c --> 2.0 fe2_c + 2.0 fecrm_un_c + fmn_c + 2.0 h_c
1027,FECRMR3: 2.0 fecrm_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c + ribflv_c
1028,FECRMUtex: fecrm_un_p + h_p --> fecrm_un_e + h_c
1029,FDMO3: ethso3_c + fmnh2_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c
1030,FECRMUtpp: fecrm_un_c + h_p --> fecrm_un_p + h_c
1031,EX_gln__L_e: gln__L_e --> 
1032,FECRMabcpp: atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c
1033,FORt2pp: for_p + h_p --> for_c + h_c
1034,FORtex: for_e <=> for_p
1035,FORtppi: for_c --> for_p
1036,FECRMexs: fe3_e + fecrm_un_e --> fecrm_e
1037,FECRMtonex: fecrm_e + h_p --> fecrm_p + h_c
1038,FRD2: fum_c + mql8_c --> mqn8_c + succ_c
1039,EX_glu__L_e: glu__L_e --> 
1040,FRD3: 2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
1041,FRUK: atp_c + f1p_c --> adp_c + fdp_c + h_c
1042,FRULYSDG: frulysp_c + h2o_c <=> g6p_c + lys__L_c
1043,FRULYSE: psclys_c <=> frulys_c
1044,FRULYSK: atp_c + frulys_c --> adp_c + frulysp_c + h_c
1045,FRULYSt2pp: frulys_p + h_p --> frulys_c + h_c
1046,FEENTERR1: fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c
1047,FEENTERR2: 2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c
1048,FEENTERR3: 2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
1049,FEENTERabcpp: atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c
1050,FEENTERexs: enter_e + fe3_e --> feenter_e
1051,FEENTERtex: enter_p + h_p --> enter_e + h_c
1052,FEENTERtonex: feenter_e + h_p --> feenter_p + h_c
1053,FRULYStex: frulys_e <=> frulys_p
1054,FRUURt2rpp: fruur_p + h_p <=> fruur_c + h_c
1055,FEENTERtpp: enter_c + h_p --> enter_p + h_c
1056,FRUURtex: fruur_e <=> fruur_p
1057,EX_gly_e: gly_e --> 
1058,FRUpts2pp: fru_p + pep_c --> f6p_c + pyr_c
1059,FRUptspp: fru_p + pep_c --> f1p_c + pyr_c
1060,FRUtex: fru_e <=> fru_p
1061,FEOXAMR1: fadh2_c + 2.0 feoxam_c --> fad_c + 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c
1062,FEOXAMR2: 2.0 feoxam_c + fmnh2_c --> 2.0 fe2_c + 2.0 feoxam_un_c + fmn_c + 2.0 h_c
1063,FEOXAMR3: 2.0 feoxam_c + rbflvrd_c --> 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c + ribflv_c
1064,FEOXAMUtex: feoxam_un_p + h_p --> feoxam_un_e + h_c
1065,FEOXAMUtpp: feoxam_un_c + h_p --> feoxam_un_p + h_c
1066,FTHFD: 10fthf_c + h2o_c --> for_c + h_c + thf_c
1067,FUCtex: fuc__L_e <=> fuc__L_p
1068,FEOXAMabcpp: atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c
1069,EX_glyald_e: glyald_e --> 
1070,FEOXAMexs: fe3_e + feoxam_un_e --> feoxam_e
1071,FUCtpp: fuc__L_p + h_p <=> fuc__L_c + h_c
1072,FUM: fum_c + h2o_c <=> mal__L_c
1073,FUMt2_2pp: fum_p + 2.0 h_p --> fum_c + 2.0 h_c
1074,FUMt2_3pp: fum_p + 3.0 h_p --> fum_c + 3.0 h_c
1075,FEOXAMtonex: feoxam_e + h_p --> feoxam_p + h_c
1076,FEROpp: 4.0 fe2_p + 4.0 h_p + o2_p --> 4.0 fe3_p + 2.0 h2o_p
1077,FFSD: h2o_c + suc6p_c --> fru_c + g6p_c
1078,FHL: for_c + h_c --> co2_c + h2_c
1079,FLDR: fldox_c + h_c + nadph_c --> fldrd_c + nadp_c
1080,FUMtex: fum_e <=> fum_p
1081,G1PACT: accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c
1082,FLVR: h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c
1083,EX_glyb_e: glyb_e --> 
1084,FLVRx: h_c + nadh_c + ribflv_c --> nad_c + rbflvrd_c
1085,FMETTRS: 10fthf_c + mettrna_c --> fmettrna_c + h_c + thf_c
1086,G1PPpp: g1p_p + h2o_p --> glc__D_p + pi_p
1087,G1PTT: dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c
1088,G1Ptex: g1p_e <=> g1p_p
1089,G1SAT: glu1sa_c <=> 5aop_c
1090,G2PPpp: glyc2p_p + h2o_p --> glyc_p + pi_p
1091,FMNAT: atp_c + fmn_c + h_c --> fad_c + ppi_c
1092,FMNRx: fmn_c + h_c + nadh_c --> fmnh2_c + nad_c
1093,FMNRx2: fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c
1094,G3PAT120: ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c
1095,EX_glyc2p_e: glyc2p_e --> 
1096,G3PAT140: glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c
1097,G3PAT141: glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c
1098,EX_glyc3p_e: glyc3p_e --> 
1099,G3PAT160: glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c
1100,G3PAT161: glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c
1101,GAL1Ptex: gal1p_e <=> gal1p_p
1102,GALBDtex: gal_bD_e <=> gal_bD_p
1103,G3PAT180: glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c
1104,G3PAT181: glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c
1105,G3PCabcpp: atp_c + g3pc_p + h2o_c --> adp_c + g3pc_c + h_c + pi_c
1106,GALCTD: galct__D_c --> 5dh4dglc_c + h2o_c
1107,GALCTLO: galctn__L_c + nad_c --> h_c + nadh_c + tagur_c
1108,GALCTND: galctn__D_c --> 2dh3dgal_c + h2o_c
1109,GALCTNLt2pp: galctn__L_p + h_p --> galctn__L_c + h_c
1110,G3PCtex: g3pc_e <=> g3pc_p
1111,G3PD2: glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c
1112,G3PD5: glyc3p_c + q8_c --> dhap_c + q8h2_c
1113,GALCTNLtex: galctn__L_e <=> galctn__L_p
1114,GALCTNt2pp: galctn__D_p + h_p --> galctn__D_c + h_c
1115,G3PD6: glyc3p_c + mqn8_c --> dhap_c + mql8_c
1116,EX_glyc_e: glyc_e --> 
1117,G3PD7: 2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
1118,G3PEabcpp: atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c
1119,G3PEtex: g3pe_e <=> g3pe_p
1120,G3PGabcpp: atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c
1121,GALCTNtex: galctn__D_e <=> galctn__D_p
1122,GALCTt2rpp: galct__D_p + h_p <=> galct__D_c + h_c
1123,GALCTtex: galct__D_e <=> galct__D_p
1124,GALKr: atp_c + gal_c <=> adp_c + gal1p_c + h_c
1125,GALM2pp: gal_bD_p --> gal_p
1126,GALS3: h2o_c + melib_c --> gal_c + glc__D_c
1127,G3PGtex: g3pg_e <=> g3pg_p
1128,G3PIabcpp: atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c
1129,G3PItex: g3pi_e <=> g3pi_p
1130,GALT1: gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c
1131,GALTptspp: galt_p + pep_c --> galt1p_c + pyr_c
1132,G3PSabcpp: atp_c + g3ps_p + h2o_c --> adp_c + g3ps_c + h_c + pi_c
1133,GALTtex: galt_e <=> galt_p
1134,GALURt2rpp: galur_p + h_p <=> galur_c + h_c
1135,GALURtex: galur_e <=> galur_p
1136,G3PStex: g3ps_e <=> g3ps_p
1137,G3PT: glyc3p_c + h2o_c --> glyc_c + pi_c
1138,G5SADs: glu5sa_c --> 1pyr5c_c + h2o_c + h_c
1139,G5SD: glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
1140,G6PDA: gam6p_c + h2o_c --> f6p_c + nh4_c
1141,GALUi: g1p_c + h_c + utp_c --> ppi_c + udpg_c
1142,GALabcpp: atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c
1143,GALt2pp: gal_p + h_p --> gal_c + h_c
1144,G6PDH2r: g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c
1145,EX_glyc__R_e: glyc__R_e --> 
1146,G6PP: g6p_c + h2o_c --> glc__D_c + pi_c
1147,G6Pt6_2pp: g6p_p + 2.0 pi_c --> g6p_c + 2.0 pi_p
1148,GALtex: gal_e <=> gal_p
1149,GAM6Pt6_2pp: gam6p_p + 2.0 pi_c --> gam6p_c + 2.0 pi_p
1150,GAMAN6Ptex: gam6p_e <=> gam6p_p
1151,GAMptspp: gam_p + pep_c --> gam6p_c + pyr_c
1152,G6Ptex: g6p_e <=> g6p_p
1153,GAL1PPpp: gal1p_p + h2o_p --> gal_p + pi_p
1154,EX_glyclt_e: glyclt_e --> 
1155,GAMtex: gam_e <=> gam_p
1156,GAPD: g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
1157,EX_gmp_e: gmp_e --> 
1158,GARFT: 10fthf_c + gar_c <=> fgam_c + h_c + thf_c
1159,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
1160,EX_gsn_e: gsn_e --> 
1161,GBBTNtex: gbbtn_e <=> gbbtn_p
1162,GLCURtex: glcur_e <=> glcur_p
1163,GLCabcpp: atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c
1164,GCALDD: gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c
1165,GDMANE: gdpddman_c --> gdpofuc_c
1166,GDPDPK: atp_c + gdp_c --> amp_c + h_c + ppgpp_c
1167,GDPMNH: gdpmann_c + h2o_c --> gdp_c + h_c + man_c
1168,GLCptspp: glc__D_p + pep_c --> g6p_c + pyr_c
1169,GLCt2pp: glc__D_p + h_p --> glc__D_c + h_c
1170,GLCtex_copy1: glc__D_e <=> glc__D_p
1171,GLCtex_copy2: glc__D_e --> glc__D_p
1172,GLDBRAN2: bglycogen_c --> glycogen_c
1173,GDPMNP: gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c
1174,GDPtex: gdp_e <=> gdp_p
1175,GLGC: atp_c + g1p_c + h_c --> adpglc_c + ppi_c
1176,EX_gthox_e: gthox_e --> 
1177,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
1178,GLNTRS: atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + ppi_c
1179,GLNabcpp: atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c
1180,GLNtex: gln__L_e <=> gln__L_p
1181,GLTPD: galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c
1182,GF6PTA: f6p_c + gln__L_c --> gam6p_c + glu__L_c
1183,GGGABADr: ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c
1184,GGGABAH: gg4abut_c + h2o_c --> 4abut_c + glu__L_c
1185,GGPTRCO: ggptrc_c + h2o_c + o2_c --> ggbutal_c + h2o2_c + nh4_c
1186,GGPTRCS: atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c
1187,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
1188,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
1189,GLUABUTt7pp: 4abut_c + glu__L_p <=> 4abut_p + glu__L_c
1190,GK1: atp_c + gmp_c <=> adp_c + gdp_c
1191,GLUCYS: atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c
1192,EX_gthrd_e: gthrd_e --> 
1193,GLUDC: glu__L_c + h_c --> 4abut_c + co2_c
