,0
351,ASNTRS: asn__L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c
352,BTS4: amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c
353,BUTCT: accoa_c + but_c --> ac_c + btcoa_c
354,BUTSO3abcpp: atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c
355,BUTSO3tex: butso3_e <=> butso3_p
356,BUTt2rpp: but_p + h_p <=> but_c + h_c
357,ASNabcpp: asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c
358,ASNt2rpp: asn__L_p + h_p <=> asn__L_c + h_c
359,BUTtex: but_e <=> but_p
360,2MAHMP: 2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c
361,CA2t3pp: ca2_c + h_p --> ca2_p + h_c
362,34dhpactex: 34dhpac_e <=> 34dhpac_p
363,CA2tex: ca2_e <=> ca2_p
364,CDAPPA161: cdpdhdec9eg_c + h2o_c --> cmp_c + 2.0 h_c + pa161_c
365,CDAPPA180: cdpdodecg_c + h2o_c --> cmp_c + 2.0 h_c + pa180_c
366,CDAPPA181: cdpdodec11eg_c + h2o_c --> cmp_c + 2.0 h_c + pa181_c
367,CADVtpp: 15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c
368,CAT: 2.0 h2o2_c --> 2.0 h2o_c + o2_c
369,CDPMEK: 4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
370,3AMPtex: 3amp_e <=> 3amp_p
371,CFAS160E: 2.0 amet_c + pe161_c --> 2.0 ahcys_c + cpe160_c + 2.0 h_c
372,CAt6pp: ca2_c + na1_p <=> ca2_p + na1_c
