source	target	dir	penwidth	style
AGPAT140	ACP_c[c]	forward	1	solid
AGPAT140	pa140_c[c]	forward	1	solid
1tdecg3p_p[p]	LPLIPAL1A140pp	forward	1	solid
LPLIPAL1A140pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A140pp	ttdca_p[p]	forward	1	solid
23camp_e[e]	23CAMPtex	both	1	solid
23CAMPtex	23camp_p[p]	both	1	solid
23camp_p[p]	23PDE7pp	forward	1	solid
23PDE7pp	3amp_p[p]	forward	1	solid
23ccmp_e[e]	23CCMPtex	both	1	solid
23CCMPtex	23ccmp_p[p]	both	1	solid
23ccmp_p[p]	23PDE4pp	forward	1	solid
23PDE4pp	3cmp_p[p]	forward	1	solid
23cgmp_e[e]	23CGMPtex	both	1	solid
23CGMPtex	23cgmp_p[p]	both	1	solid
23cgmp_p[p]	23PDE9pp	forward	1	solid
23PDE9pp	3gmp_p[p]	forward	1	solid
23cump_e[e]	23CUMPtex	both	1	solid
23CUMPtex	23cump_p[p]	both	1	solid
23cump_p[p]	23PDE2pp	forward	1	solid
23PDE2pp	3ump_p[p]	forward	1	solid
23dappa_c[c]	DAPAL	forward	1	solid
DAPAL	pyr_c[c]	forward	1	solid
23dappa_e[e]	23DAPPAtex	both	1	solid
23DAPPAtex	23dappa_p[p]	both	1	solid
23dappa_p[p]	23DAPPAt2pp	forward	1	solid
23DAPPAt2pp	23dappa_c[c]	forward	1	solid
23ddhb_c[c]	DHBD	both	1	solid
DHBD	23dhb_c[c]	both	1	solid
DHBD	nadh_c[c]	both	1	solid
23dhb_c[c]	DHBS	forward	1	solid
DHBS	23dhba_c[c]	forward	1	solid
23dhba_c[c]	ENTCS	forward	1	solid
ENTCS	amp_c[c]	forward	1	solid
ENTCS	enter_c[c]	forward	1	solid
23dhbzs_c[c]	DHBSH	forward	1	solid
DHBSH	23dhb_c[c]	forward	1	solid
DHBSH	ser__L_c[c]	forward	1	solid
23dhdp_c[c]	DHDPRy	forward	1	solid
DHDPRy	nadp_c[c]	forward	1	solid
DHDPRy	thdp_c[c]	forward	1	solid
23dhmb_c[c]	DHAD1	forward	1	solid
DHAD1	3mob_c[c]	forward	1	solid
23dhmb_c[c]	KARA1	both	1	solid
KARA1	alac__S_c[c]	both	1	solid
KARA1	nadph_c[c]	both	1	solid
23dhmp_c[c]	DHAD2	forward	1	solid
DHAD2	3mop_c[c]	forward	1	solid
23doguln_c[c]	DOGULNR	forward	1	solid
DOGULNR	3dhguln_c[c]	forward	1	solid
DOGULNR	nad_c[c]	forward	1	solid
25aics_c[c]	ADSL2r	both	1	solid
ADSL2r	aicar_c[c]	both	1	solid
ADSL2r	fum_c[c]	both	1	solid
25dkglcn_c[c]	DKGLCNR1	forward	1	solid
DKGLCNR1	2dhguln_c[c]	forward	1	solid
25dkglcn_c[c]	DKGLCNR2x	forward	1	solid
DKGLCNR2x	5dglcn_c[c]	forward	1	solid
25dkglcn_c[c]	DKGLCNR2y	forward	1	solid
DKGLCNR2y	5dglcn_c[c]	forward	1	solid
DKGLCNR2x	nad_c[c]	forward	1	solid
DKGLCNR1	nadp_c[c]	forward	1	solid
DKGLCNR2y	nadp_c[c]	forward	1	solid
25drapp_c[c]	DHPPDA2	forward	1	solid
DHPPDA2	5apru_c[c]	forward	1	solid
26dap_LL_c[c]	DAPE	both	1	solid
DAPE	26dap__M_c[c]	both	1	solid
26dap__M_c[c]	UAAGDS	forward	1	solid
UAAGDS	adp_c[c]	forward	1	solid
26dap__M_c[c]	DAPDC	forward	1	solid
DAPDC	co2_c[c]	forward	1	solid
DAPDC	lys__L_c[c]	forward	1	solid
UAAGDS	ugmd_c[c]	forward	1	solid
26dap__M_e[e]	26DAHtex	both	1	solid
26DAHtex	26dap__M_p[p]	both	1	solid
26dap__M_p[p]	DAPabcpp	forward	1	solid
DAPabcpp	26dap__M_c[c]	forward	1	solid
DAPabcpp	adp_c[c]	forward	1	solid
2agpe120_c[c]	2AGPEAT120	forward	1	solid
2AGPEAT120	amp_c[c]	forward	1	solid
2agpe120_c[c]	LPLIPAL2ATE120	forward	1	solid
LPLIPAL2ATE120	apg120_c[c]	forward	1	solid
2agpe120_c[c]	LPLIPAL2E120	forward	1	solid
LPLIPAL2E120	ddca_c[c]	forward	1	solid
LPLIPAL2ATE120	g3pe_c[c]	forward	1	solid
LPLIPAL2E120	g3pe_c[c]	forward	1	solid
2AGPEAT120	pe120_c[c]	forward	1	solid
2agpe120_p[p]	2AGPE120tipp	forward	1	solid
2AGPE120tipp	2agpe120_c[c]	forward	1	solid
2agpe140_c[c]	2AGPEAT140	forward	1	solid
2AGPEAT140	amp_c[c]	forward	1	solid
2agpe140_c[c]	LPLIPAL2ATE140	forward	1	solid
LPLIPAL2ATE140	apg140_c[c]	forward	1	solid
LPLIPAL2ATE140	g3pe_c[c]	forward	1	solid
2agpe140_c[c]	LPLIPAL2E140	forward	1	solid
LPLIPAL2E140	g3pe_c[c]	forward	1	solid
2AGPEAT140	pe140_c[c]	forward	1	solid
LPLIPAL2E140	ttdca_c[c]	forward	1	solid
2agpe140_p[p]	2AGPE140tipp	forward	1	solid
2AGPE140tipp	2agpe140_c[c]	forward	1	solid
2agpe141_c[c]	2AGPEAT141	forward	1	solid
2AGPEAT141	amp_c[c]	forward	1	solid
2agpe141_c[c]	LPLIPAL2ATE141	forward	1	solid
LPLIPAL2ATE141	apg141_c[c]	forward	1	solid
LPLIPAL2ATE141	g3pe_c[c]	forward	1	solid
2agpe141_c[c]	LPLIPAL2E141	forward	1	solid
LPLIPAL2E141	g3pe_c[c]	forward	1	solid
2AGPEAT141	pe141_c[c]	forward	1	solid
LPLIPAL2E141	ttdcea_c[c]	forward	1	solid
2agpe141_p[p]	2AGPE141tipp	forward	1	solid
2AGPE141tipp	2agpe141_c[c]	forward	1	solid
2agpe160_c[c]	2AGPEAT160	forward	1	solid
2AGPEAT160	amp_c[c]	forward	1	solid
2agpe160_c[c]	LPLIPAL2ATE160	forward	1	solid
LPLIPAL2ATE160	apg160_c[c]	forward	1	solid
LPLIPAL2ATE160	g3pe_c[c]	forward	1	solid
2agpe160_c[c]	LPLIPAL2E160	forward	1	solid
LPLIPAL2E160	g3pe_c[c]	forward	1	solid
LPLIPAL2E160	hdca_c[c]	forward	1	solid
2AGPEAT160	pe160_c[c]	forward	1	solid
2agpe160_p[p]	2AGPE160tipp	forward	1	solid
2AGPE160tipp	2agpe160_c[c]	forward	1	solid
2agpe161_c[c]	2AGPEAT161	forward	1	solid
2AGPEAT161	amp_c[c]	forward	1	solid
2agpe161_c[c]	LPLIPAL2ATE161	forward	1	solid
LPLIPAL2ATE161	apg161_c[c]	forward	1	solid
LPLIPAL2ATE161	g3pe_c[c]	forward	1	solid
2agpe161_c[c]	LPLIPAL2E161	forward	1	solid
LPLIPAL2E161	g3pe_c[c]	forward	1	solid
LPLIPAL2E161	hdcea_c[c]	forward	1	solid
2AGPEAT161	pe161_c[c]	forward	1	solid
2agpe161_p[p]	2AGPE161tipp	forward	1	solid
2AGPE161tipp	2agpe161_c[c]	forward	1	solid
2agpe180_c[c]	2AGPEAT180	forward	1	solid
2AGPEAT180	amp_c[c]	forward	1	solid
2agpe180_c[c]	LPLIPAL2ATE180	forward	1	solid
LPLIPAL2ATE180	apg180_c[c]	forward	1	solid
LPLIPAL2ATE180	g3pe_c[c]	forward	1	solid
2agpe180_c[c]	LPLIPAL2E180	forward	1	solid
LPLIPAL2E180	g3pe_c[c]	forward	1	solid
LPLIPAL2E180	ocdca_c[c]	forward	1	solid
2AGPEAT180	pe180_c[c]	forward	1	solid
2agpe180_p[p]	2AGPE180tipp	forward	1	solid
2AGPE180tipp	2agpe180_c[c]	forward	1	solid
2agpe181_c[c]	2AGPEAT181	forward	1	solid
2AGPEAT181	amp_c[c]	forward	1	solid
2agpe181_c[c]	LPLIPAL2ATE181	forward	1	solid
LPLIPAL2ATE181	apg181_c[c]	forward	1	solid
LPLIPAL2ATE181	g3pe_c[c]	forward	1	solid
2agpe181_c[c]	LPLIPAL2E181	forward	1	solid
LPLIPAL2E181	g3pe_c[c]	forward	1	solid
LPLIPAL2E181	ocdcea_c[c]	forward	1	solid
2AGPEAT181	pe181_c[c]	forward	1	solid
2agpe181_p[p]	2AGPE181tipp	forward	1	solid
2AGPE181tipp	2agpe181_c[c]	forward	1	solid
2agpg120_c[c]	2AGPGAT120	forward	1	solid
2AGPGAT120	amp_c[c]	forward	1	solid
2agpg120_c[c]	LPLIPAL2ATG120	forward	1	solid
LPLIPAL2ATG120	apg120_c[c]	forward	1	solid
2agpg120_c[c]	LPLIPAL2G120	forward	1	solid
LPLIPAL2G120	ddca_c[c]	forward	1	solid
LPLIPAL2ATG120	g3pg_c[c]	forward	1	solid
LPLIPAL2G120	g3pg_c[c]	forward	1	solid
2AGPGAT120	pg120_c[c]	forward	1	solid
2agpg120_p[p]	2AGPG120tipp	forward	1	solid
2AGPG120tipp	2agpg120_c[c]	forward	1	solid
2agpg140_c[c]	2AGPGAT140	forward	1	solid
2AGPGAT140	amp_c[c]	forward	1	solid
2agpg140_c[c]	LPLIPAL2ATG140	forward	1	solid
LPLIPAL2ATG140	apg140_c[c]	forward	1	solid
LPLIPAL2ATG140	g3pg_c[c]	forward	1	solid
2agpg140_c[c]	LPLIPAL2G140	forward	1	solid
LPLIPAL2G140	g3pg_c[c]	forward	1	solid
2AGPGAT140	pg140_c[c]	forward	1	solid
LPLIPAL2G140	ttdca_c[c]	forward	1	solid
2agpg140_p[p]	2AGPG140tipp	forward	1	solid
2AGPG140tipp	2agpg140_c[c]	forward	1	solid
2agpg141_c[c]	2AGPGAT141	forward	1	solid
2AGPGAT141	amp_c[c]	forward	1	solid
2agpg141_c[c]	LPLIPAL2ATG141	forward	1	solid
LPLIPAL2ATG141	apg141_c[c]	forward	1	solid
LPLIPAL2ATG141	g3pg_c[c]	forward	1	solid
2agpg141_c[c]	LPLIPAL2G141	forward	1	solid
LPLIPAL2G141	g3pg_c[c]	forward	1	solid
2AGPGAT141	pg141_c[c]	forward	1	solid
LPLIPAL2G141	ttdcea_c[c]	forward	1	solid
2agpg141_p[p]	2AGPG141tipp	forward	1	solid
2AGPG141tipp	2agpg141_c[c]	forward	1	solid
2agpg160_c[c]	2AGPGAT160	forward	1	solid
2AGPGAT160	amp_c[c]	forward	1	solid
2agpg160_c[c]	LPLIPAL2ATG160	forward	1	solid
LPLIPAL2ATG160	apg160_c[c]	forward	1	solid
LPLIPAL2ATG160	g3pg_c[c]	forward	1	solid
2agpg160_c[c]	LPLIPAL2G160	forward	1	solid
LPLIPAL2G160	g3pg_c[c]	forward	1	solid
LPLIPAL2G160	hdca_c[c]	forward	1	solid
2AGPGAT160	pg160_c[c]	forward	1	solid
2agpg160_p[p]	2AGPG160tipp	forward	1	solid
2AGPG160tipp	2agpg160_c[c]	forward	1	solid
2agpg161_c[c]	2AGPGAT161	forward	1	solid
2AGPGAT161	amp_c[c]	forward	1	solid
2agpg161_c[c]	LPLIPAL2ATG161	forward	1	solid
LPLIPAL2ATG161	apg161_c[c]	forward	1	solid
LPLIPAL2ATG161	g3pg_c[c]	forward	1	solid
2agpg161_c[c]	LPLIPAL2G161	forward	1	solid
LPLIPAL2G161	g3pg_c[c]	forward	1	solid
LPLIPAL2G161	hdcea_c[c]	forward	1	solid
2AGPGAT161	pg161_c[c]	forward	1	solid
2agpg161_p[p]	2AGPG161tipp	forward	1	solid
2AGPG161tipp	2agpg161_c[c]	forward	1	solid
2agpg180_c[c]	2AGPGAT180	forward	1	solid
2AGPGAT180	amp_c[c]	forward	1	solid
2agpg180_c[c]	LPLIPAL2ATG180	forward	1	solid
LPLIPAL2ATG180	apg180_c[c]	forward	1	solid
LPLIPAL2ATG180	g3pg_c[c]	forward	1	solid
2agpg180_c[c]	LPLIPAL2G180	forward	1	solid
LPLIPAL2G180	g3pg_c[c]	forward	1	solid
LPLIPAL2G180	ocdca_c[c]	forward	1	solid
2AGPGAT180	pg180_c[c]	forward	1	solid
2agpg180_p[p]	2AGPG180tipp	forward	1	solid
2AGPG180tipp	2agpg180_c[c]	forward	1	solid
2agpg181_c[c]	2AGPGAT181	forward	1	solid
2AGPGAT181	amp_c[c]	forward	1	solid
2agpg181_c[c]	LPLIPAL2ATG181	forward	1	solid
LPLIPAL2ATG181	apg181_c[c]	forward	1	solid
LPLIPAL2ATG181	g3pg_c[c]	forward	1	solid
2agpg181_c[c]	LPLIPAL2G181	forward	1	solid
LPLIPAL2G181	g3pg_c[c]	forward	1	solid
LPLIPAL2G181	ocdcea_c[c]	forward	1	solid
2AGPGAT181	pg181_c[c]	forward	1	solid
2agpg181_p[p]	2AGPG181tipp	forward	1	solid
2AGPG181tipp	2agpg181_c[c]	forward	1	solid
2ahbut_c[c]	KARA2	both	1	solid
KARA2	23dhmp_c[c]	both	1	solid
KARA2	nadp_c[c]	both	1	solid
